
##########  RSMA  ##########

Initial Conditions: R1p 9.38389112, R2p 9.28296155, R1c 0.71060783, R2c 0.69910493, Rov = 19.36595759, ||Pc|| 16.00000000, ||Pk|| 64.00000000
opt value: 1509.39351892 at  32, PS gt1    0, R1p 9.61970492, R2p 9.50119663, R1c 0.66996776, R2c 0.66986796, Rov = 19.79076951
opt value: 1509.36892250 at  33, PS gt1    0, R1p 9.61970456, R2p 9.50119766, R1c 0.66996813, R2c 0.66986805, Rov = 19.79077027
opt value: 1509.42064654 at  34, PS gt1    0, R1p 9.61970423, R2p 9.50119862, R1c 0.66996843, R2c 0.66986810, Rov = 19.79077095
opt value: 1509.40294873 at  35, PS gt1    0, R1p 9.61970391, R2p 9.50119956, R1c 0.66996872, R2c 0.66986814, Rov = 19.79077161
opt value: 1509.36921122 at  36, PS gt1    0, R1p 9.61970357, R2p 9.50120056, R1c 0.66996908, R2c 0.66986823, Rov = 19.79077236
opt value: 1509.42207524 at  37, PS gt1    0, R1p 9.61970325, R2p 9.50120149, R1c 0.66996935, R2c 0.66986826, Rov = 19.79077300
opt value: 1509.36250902 at  38, PS gt1    0, R1p 9.61970290, R2p 9.50120250, R1c 0.66996970, R2c 0.66986834, Rov = 19.79077374
opt value: 1509.42667332 at  39, PS gt1    0, R1p 9.61970258, R2p 9.50120343, R1c 0.66996997, R2c 0.66986837, Rov = 19.79077438
opt value: 1509.36722900 at  40, PS gt1    0, R1p 9.61970224, R2p 9.50120443, R1c 0.66997031, R2c 0.66986844, Rov = 19.79077510
opt value: 1509.42384753 at  41, PS gt1    0, R1p 9.61970193, R2p 9.50120535, R1c 0.66997056, R2c 0.66986847, Rov = 19.79077574
opt value: 1509.36072590 at  42, PS gt1    0, R1p 9.61970157, R2p 9.50120636, R1c 0.66997091, R2c 0.66986854, Rov = 19.79077647
opt value: 1509.42760977 at  43, PS gt1    0, R1p 9.61970126, R2p 9.50120727, R1c 0.66997117, R2c 0.66986857, Rov = 19.79077711
opt value: 1509.35020370 at  44, PS gt1    0, R1p 9.61970090, R2p 9.50120830, R1c 0.66997154, R2c 0.66986866, Rov = 19.79077786
opt value: 1509.43974084 at  45, PS gt1    0, R1p 9.61970059, R2p 9.50120922, R1c 0.66997180, R2c 0.66986868, Rov = 19.79077849
opt value: 1509.36591450 at  46, PS gt1    0, R1p 9.61970024, R2p 9.50121021, R1c 0.66997213, R2c 0.66986875, Rov = 19.79077920
opt value: 1509.36536593 at  47, PS gt1    0, R1p 9.61969987, R2p 9.50121126, R1c 0.66997252, R2c 0.66986884, Rov = 19.79077997
opt value: 1509.45854926 at  48, PS gt1    0, R1p 9.61969957, R2p 9.50121216, R1c 0.66997276, R2c 0.66986886, Rov = 19.79078059
opt value: 1509.35260892 at  49, PS gt1    0, R1p 9.61969921, R2p 9.50121317, R1c 0.66997311, R2c 0.66986894, Rov = 19.79078132
opt value: 1509.40140607 at  50, PS gt1    0, R1p 9.61969886, R2p 9.50121416, R1c 0.66997344, R2c 0.66986900, Rov = 19.79078203
opt value: 1509.37592537 at  51, PS gt1    0, R1p 9.61969850, R2p 9.50121520, R1c 0.66997382, R2c 0.66986909, Rov = 19.79078278
opt value: 1509.39605388 at  52, PS gt1    0, R1p 9.61969813, R2p 9.50121623, R1c 0.66997419, R2c 0.66986918, Rov = 19.79078354
