
##########  RSMA  ##########

Initial Conditions: R1p 9.38389112, R2p 9.28296155, R1c 0.71060783, R2c 0.69910493, Rov = 19.36595759, ||Pc|| 16.00000000, ||Pk|| 64.00000000
opt value: 1509.47502467 at  32, PS gt1    0, R1p 9.61961497, R2p 9.50143661, R1c 0.67002346, R2c 0.66986684, Rov = 19.79091842
opt value: 1509.46994010 at  33, PS gt1    0, R1p 9.61961180, R2p 9.50144435, R1c 0.67002536, R2c 0.66986689, Rov = 19.79092303
opt value: 1509.47339951 at  34, PS gt1    0, R1p 9.61960864, R2p 9.50145202, R1c 0.67002724, R2c 0.66986693, Rov = 19.79092759
opt value: 1509.46136439 at  35, PS gt1    0, R1p 9.61960586, R2p 9.50145908, R1c 0.67002897, R2c 0.66986703, Rov = 19.79093197
opt value: 1509.49384539 at  36, PS gt1    0, R1p 9.61960270, R2p 9.50146668, R1c 0.67003083, R2c 0.66986708, Rov = 19.79093646
opt value: 1509.48538044 at  37, PS gt1    0, R1p 9.61959948, R2p 9.50147433, R1c 0.67003272, R2c 0.66986713, Rov = 19.79094093
opt value: 1509.47870065 at  38, PS gt1    0, R1p 9.61959634, R2p 9.50148180, R1c 0.67003456, R2c 0.66986718, Rov = 19.79094532
opt value: 1509.48382737 at  39, PS gt1    0, R1p 9.61959315, R2p 9.50148933, R1c 0.67003642, R2c 0.66986724, Rov = 19.79094971
opt value: 1509.48886824 at  40, PS gt1    0, R1p 9.61958997, R2p 9.50149678, R1c 0.67003825, R2c 0.66986728, Rov = 19.79095403
opt value: 1509.48498662 at  41, PS gt1    0, R1p 9.61958684, R2p 9.50150414, R1c 0.67004006, R2c 0.66986734, Rov = 19.79095831
opt value: 1509.49186870 at  42, PS gt1    0, R1p 9.61958369, R2p 9.50151148, R1c 0.67004186, R2c 0.66986739, Rov = 19.79096256
opt value: 1509.49315157 at  43, PS gt1    0, R1p 9.61958057, R2p 9.50151873, R1c 0.67004363, R2c 0.66986744, Rov = 19.79096673
opt value: 1509.49015338 at  44, PS gt1    0, R1p 9.61957737, R2p 9.50152609, R1c 0.67004545, R2c 0.66986749, Rov = 19.79097094
opt value: 1509.50038065 at  45, PS gt1    0, R1p 9.61957419, R2p 9.50153336, R1c 0.67004724, R2c 0.66986754, Rov = 19.79097509
opt value: 1509.49500657 at  46, PS gt1    0, R1p 9.61957103, R2p 9.50154057, R1c 0.67004902, R2c 0.66986760, Rov = 19.79097920
opt value: 1509.50375329 at  47, PS gt1    0, R1p 9.61956780, R2p 9.50154784, R1c 0.67005082, R2c 0.66986765, Rov = 19.79098330
opt value: 1509.50247812 at  48, PS gt1    0, R1p 9.61956478, R2p 9.50155478, R1c 0.67005251, R2c 0.66986770, Rov = 19.79098726
opt value: 1509.50202962 at  49, PS gt1    0, R1p 9.61956166, R2p 9.50156183, R1c 0.67005423, R2c 0.66986775, Rov = 19.79099124
opt value: 1509.50217181 at  50, PS gt1    0, R1p 9.61955852, R2p 9.50156887, R1c 0.67005597, R2c 0.66986781, Rov = 19.79099520
opt value: 1509.50824382 at  51, PS gt1    0, R1p 9.61955542, R2p 9.50157581, R1c 0.67005767, R2c 0.66986787, Rov = 19.79099910
opt value: 1509.51495073 at  52, PS gt1    0, R1p 9.61955227, R2p 9.50158280, R1c 0.67005939, R2c 0.66986792, Rov = 19.79100299
opt value: 1509.51063623 at  53, PS gt1    0, R1p 9.61954913, R2p 9.50158975, R1c 0.67006110, R2c 0.66986797, Rov = 19.79100685
opt value: 1509.51124810 at  54, PS gt1    0, R1p 9.61954603, R2p 9.50159660, R1c 0.67006278, R2c 0.66986803, Rov = 19.79101066
opt value: 1509.51401655 at  55, PS gt1    0, R1p 9.61954293, R2p 9.50160342, R1c 0.67006446, R2c 0.66986808, Rov = 19.79101443
opt value: 1509.51425262 at  56, PS gt1    0, R1p 9.61953983, R2p 9.50161021, R1c 0.67006613, R2c 0.66986814, Rov = 19.79101818
opt value: 1509.51960146 at  57, PS gt1    0, R1p 9.61953673, R2p 9.50161697, R1c 0.67006780, R2c 0.66986820, Rov = 19.79102189
opt value: 1509.51493478 at  58, PS gt1    0, R1p 9.61953361, R2p 9.50162373, R1c 0.67006947, R2c 0.66986826, Rov = 19.79102559
opt value: 1509.52816853 at  59, PS gt1    0, R1p 9.61953053, R2p 9.50163039, R1c 0.67007110, R2c 0.66986832, Rov = 19.79102923
opt value: 1509.52010548 at  60, PS gt1    0, R1p 9.61952744, R2p 9.50163703, R1c 0.67007273, R2c 0.66986837, Rov = 19.79103285
opt value: 1509.52550710 at  61, PS gt1    0, R1p 9.61952439, R2p 9.50164360, R1c 0.67007434, R2c 0.66986843, Rov = 19.79103642
opt value: 1509.52401656 at  62, PS gt1    0, R1p 9.61952135, R2p 9.50165011, R1c 0.67007594, R2c 0.66986849, Rov = 19.79103995
opt value: 1509.52781134 at  63, PS gt1    0, R1p 9.61951830, R2p 9.50165663, R1c 0.67007754, R2c 0.66986854, Rov = 19.79104347
opt value: 1509.53050699 at  64, PS gt1    0, R1p 9.61951519, R2p 9.50166319, R1c 0.67007915, R2c 0.66986860, Rov = 19.79104698
opt value: 1509.53011990 at  65, PS gt1    0, R1p 9.61951225, R2p 9.50166947, R1c 0.67008068, R2c 0.66986866, Rov = 19.79105038
opt value: 1509.53177843 at  66, PS gt1    0, R1p 9.61950922, R2p 9.50167586, R1c 0.67008225, R2c 0.66986872, Rov = 19.79105380
opt value: 1509.53726065 at  67, PS gt1    0, R1p 9.61950619, R2p 9.50168222, R1c 0.67008380, R2c 0.66986877, Rov = 19.79105719
opt value: 1509.53080698 at  68, PS gt1    0, R1p 9.61950312, R2p 9.50168862, R1c 0.67008539, R2c 0.66986884, Rov = 19.79106058
opt value: 1509.52403692 at  69, PS gt1    0, R1p 9.61949983, R2p 9.50169532, R1c 0.67008716, R2c 0.66986895, Rov = 19.79106410
opt value: 1509.57877202 at  70, PS gt1    0, R1p 9.61949689, R2p 9.50170150, R1c 0.67008866, R2c 0.66986902, Rov = 19.79106741
opt value: 1509.54626308 at  71, PS gt1    0, R1p 9.61949390, R2p 9.50170770, R1c 0.67009018, R2c 0.66986907, Rov = 19.79107067
opt value: 1509.53880762 at  72, PS gt1    0, R1p 9.61949085, R2p 9.50171396, R1c 0.67009173, R2c 0.66986914, Rov = 19.79107394
opt value: 1509.54724999 at  73, PS gt1    0, R1p 9.61948779, R2p 9.50172020, R1c 0.67009326, R2c 0.66986919, Rov = 19.79107719
opt value: 1509.54075438 at  74, PS gt1    0, R1p 9.61948481, R2p 9.50172632, R1c 0.67009476, R2c 0.66986925, Rov = 19.79108038
opt value: 1509.55056578 at  75, PS gt1    0, R1p 9.61948173, R2p 9.50173255, R1c 0.67009630, R2c 0.66986931, Rov = 19.79108359
opt value: 1509.54608897 at  76, PS gt1    0, R1p 9.61947879, R2p 9.50173855, R1c 0.67009777, R2c 0.66986937, Rov = 19.79108671
opt value: 1509.54736115 at  77, PS gt1    0, R1p 9.61947590, R2p 9.50174446, R1c 0.67009921, R2c 0.66986943, Rov = 19.79108979
opt value: 1509.54914376 at  78, PS gt1    0, R1p 9.61947296, R2p 9.50175042, R1c 0.67010066, R2c 0.66986949, Rov = 19.79109286
opt value: 1509.54830162 at  79, PS gt1    0, R1p 9.61946999, R2p 9.50175639, R1c 0.67010214, R2c 0.66986956, Rov = 19.79109593
opt value: 1509.55291040 at  80, PS gt1    0, R1p 9.61946701, R2p 9.50176235, R1c 0.67010361, R2c 0.66986962, Rov = 19.79109899
