
##########  PS  ##########

Initial Conditions: R1p 3.44005014, R2p 3.45359172, R1c 0.22264233, R2c 0.49169159, Rov = 7.11628419
opt value: 19.67630786 at   1, PS gt1    0, R1p 3.43993953, R2p 3.45362254, R1c 0.22264850, R2c 0.49169137, Rov = 7.11621057
opt value: 19.79330075 at   2, PS gt1    0, R1p 3.43986967, R2p 3.45364220, R1c 0.22265240, R2c 0.49169122, Rov = 7.11616427
opt value: 19.86669214 at   3, PS gt1    0, R1p 3.43983532, R2p 3.45365215, R1c 0.22265432, R2c 0.49169115, Rov = 7.11614178
opt value: 19.79266658 at   4, PS gt1    0, R1p 3.43980784, R2p 3.45366021, R1c 0.22265585, R2c 0.49169109, Rov = 7.11612391
opt value: 19.73407970 at   5, PS gt1    0, R1p 3.43975778, R2p 3.45367443, R1c 0.22265864, R2c 0.49169099, Rov = 7.11609086
opt value: 19.81643488 at   6, PS gt1    0, R1p 3.43971998, R2p 3.45368529, R1c 0.22266075, R2c 0.49169091, Rov = 7.11606603
opt value: 19.93054222 at   7, PS gt1    0, R1p 3.43972290, R2p 3.45368505, R1c 0.22266059, R2c 0.49169091, Rov = 7.11606854
opt value: 19.68819409 at   8, PS gt1    0, R1p 3.43969238, R2p 3.45369392, R1c 0.22266229, R2c 0.49169084, Rov = 7.11604859
opt value: 19.86720408 at   9, PS gt1    0, R1p 3.43968106, R2p 3.45369754, R1c 0.22266292, R2c 0.49169082, Rov = 7.11604153
opt value: 19.83433521 at  10, PS gt1    0, R1p 3.43967808, R2p 3.45369890, R1c 0.22266309, R2c 0.49169081, Rov = 7.11604008
opt value: 19.81642882 at  11, PS gt1    0, R1p 3.43967771, R2p 3.45369955, R1c 0.22266311, R2c 0.49169080, Rov = 7.11604037
opt value: 19.79640576 at  12, PS gt1    0, R1p 3.43967506, R2p 3.45370082, R1c 0.22266326, R2c 0.49169079, Rov = 7.11603914
opt value: 19.53011686 at  13, PS gt1    0, R1p 3.43960824, R2p 3.45371952, R1c 0.22266699, R2c 0.49169066, Rov = 7.11599475
opt value: 20.09507724 at  14, PS gt1    0, R1p 3.43961174, R2p 3.45371911, R1c 0.22266679, R2c 0.49169066, Rov = 7.11599765
opt value: 19.72482439 at  15, PS gt1    0, R1p 3.43960006, R2p 3.45372281, R1c 0.22266744, R2c 0.49169063, Rov = 7.11599032
opt value: 19.84442729 at  16, PS gt1    0, R1p 3.43959677, R2p 3.45372424, R1c 0.22266763, R2c 0.49169062, Rov = 7.11598864
opt value: 19.79926827 at  17, PS gt1    0, R1p 3.43959254, R2p 3.45372593, R1c 0.22266786, R2c 0.49169061, Rov = 7.11598633
opt value: 19.84674354 at  18, PS gt1    0, R1p 3.43959619, R2p 3.45372548, R1c 0.22266766, R2c 0.49169061, Rov = 7.11598933
opt value: 19.58617770 at  19, PS gt1    0, R1p 3.43955566, R2p 3.45373700, R1c 0.22266992, R2c 0.49169053, Rov = 7.11596258
opt value: 19.95587638 at  20, PS gt1    0, R1p 3.43955005, R2p 3.45373904, R1c 0.22267023, R2c 0.49169051, Rov = 7.11595932
opt value: 19.83626595 at  21, PS gt1    0, R1p 3.43954948, R2p 3.45373972, R1c 0.22267026, R2c 0.49169051, Rov = 7.11595947
opt value: 19.62413438 at  22, PS gt1    0, R1p 3.43951475, R2p 3.45374965, R1c 0.22267220, R2c 0.49169043, Rov = 7.11593661
opt value: 19.72749460 at  23, PS gt1    0, R1p 3.43946960, R2p 3.45376238, R1c 0.22267472, R2c 0.49169034, Rov = 7.11590671
opt value: 20.05147914 at  24, PS gt1    0, R1p 3.43947211, R2p 3.45376221, R1c 0.22267458, R2c 0.49169034, Rov = 7.11590890
opt value: 19.60822039 at  25, PS gt1    0, R1p 3.43944052, R2p 3.45377125, R1c 0.22267634, R2c 0.49169028, Rov = 7.11588812
opt value: 19.83019169 at  26, PS gt1    0, R1p 3.43941637, R2p 3.45377828, R1c 0.22267769, R2c 0.49169022, Rov = 7.11587234
opt value: 19.77702960 at  27, PS gt1    0, R1p 3.43939025, R2p 3.45378582, R1c 0.22267915, R2c 0.49169017, Rov = 7.11585522
opt value: 20.00512711 at  28, PS gt1    0, R1p 3.43939585, R2p 3.45378480, R1c 0.22267884, R2c 0.49169018, Rov = 7.11585949
opt value: 19.58161424 at  29, PS gt1    0, R1p 3.43936884, R2p 3.45379257, R1c 0.22268034, R2c 0.49169012, Rov = 7.11584176
opt value: 19.80704138 at  30, PS gt1    0, R1p 3.43934425, R2p 3.45379968, R1c 0.22268172, R2c 0.49169007, Rov = 7.11582565
opt value: 20.03339715 at  31, PS gt1    0, R1p 3.43934847, R2p 3.45379908, R1c 0.22268148, R2c 0.49169007, Rov = 7.11582902
opt value: 19.59203664 at  32, PS gt1    0, R1p 3.43932844, R2p 3.45380495, R1c 0.22268260, R2c 0.49169003, Rov = 7.11581598
opt value: 19.98021640 at  33, PS gt1    0, R1p 3.43933435, R2p 3.45380382, R1c 0.22268227, R2c 0.49169004, Rov = 7.11582044
opt value: 19.42513749 at  34, PS gt1    0, R1p 3.43928854, R2p 3.45381662, R1c 0.22268483, R2c 0.49168994, Rov = 7.11578999
opt value: 20.01370917 at  35, PS gt1    0, R1p 3.43927448, R2p 3.45382086, R1c 0.22268561, R2c 0.49168991, Rov = 7.11578095
opt value: 19.67297989 at  36, PS gt1    0, R1p 3.43924607, R2p 3.45382894, R1c 0.22268720, R2c 0.49168985, Rov = 7.11576221
opt value: 20.07895516 at  37, PS gt1    0, R1p 3.43925212, R2p 3.45382777, R1c 0.22268686, R2c 0.49168986, Rov = 7.11576674
opt value: 19.67684187 at  38, PS gt1    0, R1p 3.43924301, R2p 3.45383067, R1c 0.22268737, R2c 0.49168984, Rov = 7.11576104
opt value: 19.82894265 at  39, PS gt1    0, R1p 3.43923707, R2p 3.45383272, R1c 0.22268770, R2c 0.49168982, Rov = 7.11575749
opt value: 19.90530872 at  40, PS gt1    0, R1p 3.43924267, R2p 3.45383169, R1c 0.22268738, R2c 0.49168983, Rov = 7.11576175
opt value: 19.80364497 at  41, PS gt1    0, R1p 3.43924794, R2p 3.45383075, R1c 0.22268709, R2c 0.49168984, Rov = 7.11576578
opt value: 19.62687373 at  42, PS gt1    0, R1p 3.43923452, R2p 3.45383481, R1c 0.22268784, R2c 0.49168981, Rov = 7.11575716
opt value: 19.73010352 at  43, PS gt1    0, R1p 3.43921451, R2p 3.45384061, R1c 0.22268896, R2c 0.49168977, Rov = 7.11574408
opt value: 19.86834687 at  44, PS gt1    0, R1p 3.43920332, R2p 3.45384404, R1c 0.22268958, R2c 0.49168974, Rov = 7.11573694
opt value: 19.95953110 at  45, PS gt1    0, R1p 3.43920956, R2p 3.45384281, R1c 0.22268923, R2c 0.49168975, Rov = 7.11574160
opt value: 19.80127291 at  46, PS gt1    0, R1p 3.43921576, R2p 3.45384159, R1c 0.22268888, R2c 0.49168976, Rov = 7.11574624
opt value: 19.83706941 at  47, PS gt1    0, R1p 3.43922020, R2p 3.45384092, R1c 0.22268864, R2c 0.49168976, Rov = 7.11574976
opt value: 19.76996921 at  48, PS gt1    0, R1p 3.43922627, R2p 3.45383974, R1c 0.22268830, R2c 0.49168977, Rov = 7.11575431
opt value: 19.79907709 at  49, PS gt1    0, R1p 3.43923242, R2p 3.45383854, R1c 0.22268795, R2c 0.49168978, Rov = 7.11575891
opt value: 19.82099417 at  50, PS gt1    0, R1p 3.43923743, R2p 3.45383769, R1c 0.22268767, R2c 0.49168978, Rov = 7.11576279
opt value: 19.79127898 at  51, PS gt1    0, R1p 3.43924314, R2p 3.45383662, R1c 0.22268735, R2c 0.49168979, Rov = 7.11576711
opt value: 19.70957882 at  52, PS gt1    0, R1p 3.43923847, R2p 3.45383833, R1c 0.22268761, R2c 0.49168978, Rov = 7.11576442
opt value: 19.89948923 at  53, PS gt1    0, R1p 3.43924370, R2p 3.45383741, R1c 0.22268732, R2c 0.49168979, Rov = 7.11576843
opt value: 19.80221540 at  54, PS gt1    0, R1p 3.43924890, R2p 3.45383649, R1c 0.22268703, R2c 0.49168979, Rov = 7.11577243
opt value: 19.78768958 at  55, PS gt1    0, R1p 3.43925497, R2p 3.45383532, R1c 0.22268669, R2c 0.49168980, Rov = 7.11577698
opt value: 19.80147199 at  56, PS gt1    0, R1p 3.43926100, R2p 3.45383415, R1c 0.22268635, R2c 0.49168981, Rov = 7.11578150
opt value: 19.80126558 at  57, PS gt1    0, R1p 3.43926702, R2p 3.45383298, R1c 0.22268602, R2c 0.49168982, Rov = 7.11578602
opt value: 19.82114281 at  58, PS gt1    0, R1p 3.43927179, R2p 3.45383220, R1c 0.22268575, R2c 0.49168982, Rov = 7.11578974
opt value: 19.60160897 at  59, PS gt1    0, R1p 3.43925566, R2p 3.45383698, R1c 0.22268665, R2c 0.49168979, Rov = 7.11577929
opt value: 19.98847354 at  60, PS gt1    0, R1p 3.43926130, R2p 3.45383594, R1c 0.22268634, R2c 0.49168979, Rov = 7.11578357
opt value: 19.79615419 at  61, PS gt1    0, R1p 3.43926705, R2p 3.45383485, R1c 0.22268601, R2c 0.49168980, Rov = 7.11578792
opt value: 19.67502048 at  62, PS gt1    0, R1p 3.43925735, R2p 3.45383792, R1c 0.22268656, R2c 0.49168978, Rov = 7.11578182
opt value: 19.74112332 at  63, PS gt1    0, R1p 3.43924187, R2p 3.45384252, R1c 0.22268742, R2c 0.49168974, Rov = 7.11577181
