
##########  PS  ##########

Initial Conditions: R1p 3.58253329, R2p 3.59641193, R1c 0.22546933, R2c 0.48985456, Rov = 7.40441455
opt value: 22.06619260 at   1, PS gt1    0, R1p 3.58251006, R2p 3.59642026, R1c 0.22547057, R2c 0.48985447, Rov = 7.40440089
opt value: 22.01441912 at   2, PS gt1    0, R1p 3.58246351, R2p 3.59643675, R1c 0.22547304, R2c 0.48985431, Rov = 7.40437329
opt value: 22.13114073 at   3, PS gt1    0, R1p 3.58246098, R2p 3.59643795, R1c 0.22547317, R2c 0.48985429, Rov = 7.40437210
opt value: 22.07197728 at   4, PS gt1    0, R1p 3.58245642, R2p 3.59643986, R1c 0.22547341, R2c 0.48985428, Rov = 7.40436970
opt value: 22.07076340 at   5, PS gt1    0, R1p 3.58244862, R2p 3.59644291, R1c 0.22547382, R2c 0.48985424, Rov = 7.40436536
opt value: 22.06730394 at   6, PS gt1    0, R1p 3.58243721, R2p 3.59644723, R1c 0.22547443, R2c 0.48985420, Rov = 7.40435887
opt value: 21.99972606 at   7, PS gt1    0, R1p 3.58240855, R2p 3.59645757, R1c 0.22547595, R2c 0.48985410, Rov = 7.40434207
opt value: 22.09586495 at   8, PS gt1    0, R1p 3.58239134, R2p 3.59646393, R1c 0.22547686, R2c 0.48985403, Rov = 7.40433213
opt value: 22.13011418 at   9, PS gt1    0, R1p 3.58238950, R2p 3.59646493, R1c 0.22547696, R2c 0.48985402, Rov = 7.40433140
opt value: 21.97212357 at  10, PS gt1    0, R1p 3.58236261, R2p 3.59647472, R1c 0.22547839, R2c 0.48985392, Rov = 7.40431571
opt value: 22.17772785 at  11, PS gt1    0, R1p 3.58236369, R2p 3.59647470, R1c 0.22547833, R2c 0.48985392, Rov = 7.40431672
opt value: 22.07451568 at  12, PS gt1    0, R1p 3.58236475, R2p 3.59647469, R1c 0.22547827, R2c 0.48985392, Rov = 7.40431771
opt value: 21.96871096 at  13, PS gt1    0, R1p 3.58234377, R2p 3.59648240, R1c 0.22547938, R2c 0.48985384, Rov = 7.40430556
opt value: 22.17913584 at  14, PS gt1    0, R1p 3.58234611, R2p 3.59648194, R1c 0.22547926, R2c 0.48985385, Rov = 7.40430731
opt value: 21.94816299 at  15, PS gt1    0, R1p 3.58232174, R2p 3.59649088, R1c 0.22548055, R2c 0.48985376, Rov = 7.40429318
