
##########  PS  ##########

Initial Conditions: R1p 3.94023007, R2p 3.95362217, R1c 0.24230491, R2c 0.47712914, Rov = 8.13615715
opt value: 28.83949849 at   1, PS gt1    0, R1p 3.94021488, R2p 3.95362811, R1c 0.24230562, R2c 0.47712904, Rov = 8.13614860
opt value: 28.84620872 at   2, PS gt1    0, R1p 3.94021050, R2p 3.95363006, R1c 0.24230582, R2c 0.47712901, Rov = 8.13614638
opt value: 28.80387041 at   3, PS gt1    0, R1p 3.94017961, R2p 3.95364181, R1c 0.24230726, R2c 0.47712882, Rov = 8.13612869
opt value: 28.87897484 at   4, PS gt1    0, R1p 3.94017850, R2p 3.95364255, R1c 0.24230731, R2c 0.47712881, Rov = 8.13612837
opt value: 28.82803099 at   5, PS gt1    0, R1p 3.94016945, R2p 3.95364623, R1c 0.24230774, R2c 0.47712875, Rov = 8.13612341
opt value: 28.84693074 at   6, PS gt1    0, R1p 3.94016380, R2p 3.95364865, R1c 0.24230800, R2c 0.47712871, Rov = 8.13612045
opt value: 28.84145264 at   7, PS gt1    0, R1p 3.94015792, R2p 3.95365116, R1c 0.24230827, R2c 0.47712866, Rov = 8.13611736
opt value: 28.77427046 at   8, PS gt1    0, R1p 3.94011945, R2p 3.95366555, R1c 0.24231007, R2c 0.47712843, Rov = 8.13609506
opt value: 28.87607140 at   9, PS gt1    0, R1p 3.94010515, R2p 3.95367108, R1c 0.24231074, R2c 0.47712834, Rov = 8.13608697
opt value: 28.87001301 at  10, PS gt1    0, R1p 3.94010382, R2p 3.95367191, R1c 0.24231080, R2c 0.47712832, Rov = 8.13608653
opt value: 28.85592043 at  11, PS gt1    0, R1p 3.94010512, R2p 3.95367177, R1c 0.24231074, R2c 0.47712832, Rov = 8.13608763
opt value: 28.83003834 at  12, PS gt1    0, R1p 3.94010381, R2p 3.95367259, R1c 0.24231080, R2c 0.47712831, Rov = 8.13608720
opt value: 28.84077460 at  13, PS gt1    0, R1p 3.94010224, R2p 3.95367350, R1c 0.24231087, R2c 0.47712830, Rov = 8.13608662
opt value: 28.84642229 at  14, PS gt1    0, R1p 3.94010155, R2p 3.95367409, R1c 0.24231090, R2c 0.47712829, Rov = 8.13608655
opt value: 28.84931687 at  15, PS gt1    0, R1p 3.94010238, R2p 3.95367412, R1c 0.24231087, R2c 0.47712828, Rov = 8.13608736
opt value: 28.83354578 at  16, PS gt1    0, R1p 3.94010119, R2p 3.95367489, R1c 0.24231092, R2c 0.47712827, Rov = 8.13608700
opt value: 28.84408696 at  17, PS gt1    0, R1p 3.94010036, R2p 3.95367553, R1c 0.24231096, R2c 0.47712826, Rov = 8.13608685
opt value: 28.84364327 at  18, PS gt1    0, R1p 3.94009856, R2p 3.95367651, R1c 0.24231104, R2c 0.47712824, Rov = 8.13608611
opt value: 28.84339358 at  19, PS gt1    0, R1p 3.94009822, R2p 3.95367697, R1c 0.24231106, R2c 0.47712824, Rov = 8.13608625
opt value: 28.84592647 at  20, PS gt1    0, R1p 3.94009753, R2p 3.95367754, R1c 0.24231109, R2c 0.47712823, Rov = 8.13608617
opt value: 28.84863215 at  21, PS gt1    0, R1p 3.94009863, R2p 3.95367747, R1c 0.24231104, R2c 0.47712823, Rov = 8.13608714
opt value: 28.83271339 at  22, PS gt1    0, R1p 3.94009793, R2p 3.95367806, R1c 0.24231107, R2c 0.47712822, Rov = 8.13608707
opt value: 28.84902837 at  23, PS gt1    0, R1p 3.94009879, R2p 3.95367808, R1c 0.24231103, R2c 0.47712822, Rov = 8.13608789
opt value: 28.84267180 at  24, PS gt1    0, R1p 3.94009961, R2p 3.95367810, R1c 0.24231099, R2c 0.47712822, Rov = 8.13608870
opt value: 28.84329238 at  25, PS gt1    0, R1p 3.94009996, R2p 3.95367831, R1c 0.24231098, R2c 0.47712821, Rov = 8.13608924
