
##########  PS  ##########

Initial Conditions: R1p 3.90824755, R2p 3.92160013, R1c 0.24147205, R2c 0.47799282, Rov = 8.07131973
opt value: 28.16059530 at   1, PS gt1    0, R1p 3.90823289, R2p 3.92160549, R1c 0.24147274, R2c 0.47799273, Rov = 8.07131113
opt value: 28.16686648 at   2, PS gt1    0, R1p 3.90822398, R2p 3.92160881, R1c 0.24147316, R2c 0.47799268, Rov = 8.07130596
opt value: 28.16971216 at   3, PS gt1    0, R1p 3.90822018, R2p 3.92161034, R1c 0.24147334, R2c 0.47799265, Rov = 8.07130386
opt value: 28.16473644 at   4, PS gt1    0, R1p 3.90821431, R2p 3.92161261, R1c 0.24147362, R2c 0.47799262, Rov = 8.07130054
opt value: 28.17144680 at   5, PS gt1    0, R1p 3.90821482, R2p 3.92161262, R1c 0.24147359, R2c 0.47799262, Rov = 8.07130103
opt value: 28.16692886 at   6, PS gt1    0, R1p 3.90821450, R2p 3.92161292, R1c 0.24147361, R2c 0.47799261, Rov = 8.07130104
opt value: 28.15533432 at   7, PS gt1    0, R1p 3.90820246, R2p 3.92161734, R1c 0.24147418, R2c 0.47799254, Rov = 8.07129398
opt value: 28.16545371 at   8, PS gt1    0, R1p 3.90819574, R2p 3.92161989, R1c 0.24147449, R2c 0.47799250, Rov = 8.07129013
opt value: 28.17441453 at   9, PS gt1    0, R1p 3.90819366, R2p 3.92162083, R1c 0.24147459, R2c 0.47799248, Rov = 8.07128908
opt value: 28.16450535 at  10, PS gt1    0, R1p 3.90819082, R2p 3.92162200, R1c 0.24147473, R2c 0.47799247, Rov = 8.07128755
opt value: 28.17019914 at  11, PS gt1    0, R1p 3.90819105, R2p 3.92162213, R1c 0.24147471, R2c 0.47799246, Rov = 8.07128789
opt value: 28.16804227 at  12, PS gt1    0, R1p 3.90819138, R2p 3.92162221, R1c 0.24147470, R2c 0.47799246, Rov = 8.07128828
opt value: 28.16146785 at  13, PS gt1    0, R1p 3.90818815, R2p 3.92162352, R1c 0.24147485, R2c 0.47799244, Rov = 8.07128652
opt value: 28.16461278 at  14, PS gt1    0, R1p 3.90818491, R2p 3.92162484, R1c 0.24147500, R2c 0.47799242, Rov = 8.07128476
