
##########  PS  ##########

Initial Conditions: R1p 3.58253329, R2p 3.59641193, R1c 0.22546933, R2c 0.48985456, Rov = 7.40441455
opt value: 22.10264391 at  43, PS gt1    0, R1p 3.58219548, R2p 3.59654604, R1c 0.22548724, R2c 0.48985319, Rov = 7.40422876
opt value: 22.13051708 at  44, PS gt1    0, R1p 3.58219834, R2p 3.59654540, R1c 0.22548709, R2c 0.48985320, Rov = 7.40423083
opt value: 21.87645905 at  45, PS gt1    0, R1p 3.58217668, R2p 3.59655352, R1c 0.22548824, R2c 0.48985312, Rov = 7.40421844
opt value: 22.26241282 at  46, PS gt1    0, R1p 3.58217970, R2p 3.59655284, R1c 0.22548808, R2c 0.48985312, Rov = 7.40422061
opt value: 22.06211106 at  47, PS gt1    0, R1p 3.58218323, R2p 3.59655200, R1c 0.22548789, R2c 0.48985313, Rov = 7.40422312
opt value: 21.91811373 at  48, PS gt1    0, R1p 3.58216712, R2p 3.59655817, R1c 0.22548874, R2c 0.48985307, Rov = 7.40421404
opt value: 22.22873788 at  49, PS gt1    0, R1p 3.58217044, R2p 3.59655740, R1c 0.22548857, R2c 0.48985308, Rov = 7.40421640
opt value: 22.08185457 at  50, PS gt1    0, R1p 3.58217311, R2p 3.59655681, R1c 0.22548842, R2c 0.48985308, Rov = 7.40421834
opt value: 22.05662537 at  51, PS gt1    0, R1p 3.58217671, R2p 3.59655595, R1c 0.22548823, R2c 0.48985309, Rov = 7.40422090
opt value: 22.07904992 at  52, PS gt1    0, R1p 3.58218000, R2p 3.59655520, R1c 0.22548806, R2c 0.48985310, Rov = 7.40422325
opt value: 22.07983799 at  53, PS gt1    0, R1p 3.58218279, R2p 3.59655457, R1c 0.22548791, R2c 0.48985310, Rov = 7.40422527
opt value: 22.05689777 at  54, PS gt1    0, R1p 3.58218625, R2p 3.59655377, R1c 0.22548773, R2c 0.48985311, Rov = 7.40422774
opt value: 22.07131684 at  55, PS gt1    0, R1p 3.58218947, R2p 3.59655305, R1c 0.22548755, R2c 0.48985312, Rov = 7.40423007
opt value: 22.07305725 at  56, PS gt1    0, R1p 3.58219243, R2p 3.59655241, R1c 0.22548740, R2c 0.48985313, Rov = 7.40423223
opt value: 22.00391727 at  57, PS gt1    0, R1p 3.58218599, R2p 3.59655511, R1c 0.22548774, R2c 0.48985310, Rov = 7.40422885
opt value: 22.05411326 at  58, PS gt1    0, R1p 3.58217776, R2p 3.59655846, R1c 0.22548817, R2c 0.48985306, Rov = 7.40422440
opt value: 22.13443198 at  59, PS gt1    0, R1p 3.58217673, R2p 3.59655922, R1c 0.22548823, R2c 0.48985306, Rov = 7.40422418
opt value: 22.09882701 at  60, PS gt1    0, R1p 3.58218005, R2p 3.59655845, R1c 0.22548805, R2c 0.48985306, Rov = 7.40422655
opt value: 22.07298988 at  61, PS gt1    0, R1p 3.58218333, R2p 3.59655768, R1c 0.22548788, R2c 0.48985307, Rov = 7.40422889
opt value: 22.07420373 at  62, PS gt1    0, R1p 3.58218661, R2p 3.59655693, R1c 0.22548770, R2c 0.48985308, Rov = 7.40423124
opt value: 21.91698993 at  63, PS gt1    0, R1p 3.58217072, R2p 3.59656301, R1c 0.22548855, R2c 0.48985302, Rov = 7.40422228
opt value: 22.22988695 at  64, PS gt1    0, R1p 3.58217368, R2p 3.59656234, R1c 0.22548839, R2c 0.48985302, Rov = 7.40422441
opt value: 22.03142914 at  65, PS gt1    0, R1p 3.58217233, R2p 3.59656322, R1c 0.22548846, R2c 0.48985301, Rov = 7.40422401
opt value: 22.10723027 at  66, PS gt1    0, R1p 3.58217552, R2p 3.59656248, R1c 0.22548829, R2c 0.48985302, Rov = 7.40422630
opt value: 21.95235917 at  67, PS gt1    0, R1p 3.58216486, R2p 3.59656672, R1c 0.22548886, R2c 0.48985298, Rov = 7.40422043
opt value: 22.18306005 at  68, PS gt1    0, R1p 3.58216850, R2p 3.59656585, R1c 0.22548866, R2c 0.48985299, Rov = 7.40422301
opt value: 22.07183361 at  69, PS gt1    0, R1p 3.58217213, R2p 3.59656499, R1c 0.22548847, R2c 0.48985299, Rov = 7.40422559
opt value: 22.08497767 at  70, PS gt1    0, R1p 3.58217508, R2p 3.59656432, R1c 0.22548831, R2c 0.48985300, Rov = 7.40422771
opt value: 21.94766849 at  71, PS gt1    0, R1p 3.58216457, R2p 3.59656850, R1c 0.22548887, R2c 0.48985296, Rov = 7.40422193
opt value: 22.05894688 at  72, PS gt1    0, R1p 3.58215357, R2p 3.59657286, R1c 0.22548945, R2c 0.48985291, Rov = 7.40421589
opt value: 22.11170442 at  73, PS gt1    0, R1p 3.58214817, R2p 3.59657524, R1c 0.22548974, R2c 0.48985289, Rov = 7.40421314
opt value: 22.10022313 at  74, PS gt1    0, R1p 3.58214568, R2p 3.59657656, R1c 0.22548987, R2c 0.48985288, Rov = 7.40421211
opt value: 21.96758928 at  75, PS gt1    0, R1p 3.58213297, R2p 3.59658157, R1c 0.22549054, R2c 0.48985282, Rov = 7.40420508
opt value: 22.22698271 at  76, PS gt1    0, R1p 3.58213643, R2p 3.59658074, R1c 0.22549036, R2c 0.48985283, Rov = 7.40420754
opt value: 21.99120411 at  77, PS gt1    0, R1p 3.58213232, R2p 3.59658267, R1c 0.22549058, R2c 0.48985281, Rov = 7.40420557
opt value: 22.12504416 at  78, PS gt1    0, R1p 3.58213249, R2p 3.59658302, R1c 0.22549057, R2c 0.48985281, Rov = 7.40420607
opt value: 22.09378970 at  79, PS gt1    0, R1p 3.58213627, R2p 3.59658211, R1c 0.22549037, R2c 0.48985282, Rov = 7.40420874
opt value: 22.08227211 at  80, PS gt1    0, R1p 3.58213946, R2p 3.59658136, R1c 0.22549020, R2c 0.48985283, Rov = 7.40421101
opt value: 22.06220417 at  81, PS gt1    0, R1p 3.58214320, R2p 3.59658046, R1c 0.22549000, R2c 0.48985283, Rov = 7.40421366
opt value: 22.08426946 at  82, PS gt1    0, R1p 3.58214624, R2p 3.59657976, R1c 0.22548984, R2c 0.48985284, Rov = 7.40421584
opt value: 21.99931180 at  83, PS gt1    0, R1p 3.58214300, R2p 3.59658136, R1c 0.22549001, R2c 0.48985282, Rov = 7.40421436
opt value: 22.14993366 at  84, PS gt1    0, R1p 3.58214549, R2p 3.59658081, R1c 0.22548988, R2c 0.48985283, Rov = 7.40421618
opt value: 22.02270555 at  85, PS gt1    0, R1p 3.58214471, R2p 3.59658151, R1c 0.22548992, R2c 0.48985282, Rov = 7.40421614
opt value: 22.11614808 at  86, PS gt1    0, R1p 3.58214779, R2p 3.59658080, R1c 0.22548975, R2c 0.48985283, Rov = 7.40421834
opt value: 21.99764162 at  87, PS gt1    0, R1p 3.58214400, R2p 3.59658259, R1c 0.22548995, R2c 0.48985281, Rov = 7.40421654
opt value: 22.13439711 at  88, PS gt1    0, R1p 3.58214772, R2p 3.59658169, R1c 0.22548976, R2c 0.48985282, Rov = 7.40421917
opt value: 22.08308614 at  89, PS gt1    0, R1p 3.58215079, R2p 3.59658099, R1c 0.22548959, R2c 0.48985283, Rov = 7.40422137
opt value: 21.97894870 at  90, PS gt1    0, R1p 3.58214539, R2p 3.59658336, R1c 0.22548988, R2c 0.48985280, Rov = 7.40421863
opt value: 22.04435981 at  91, PS gt1    0, R1p 3.58213744, R2p 3.59658666, R1c 0.22549030, R2c 0.48985277, Rov = 7.40421440
opt value: 22.13399830 at  92, PS gt1    0, R1p 3.58213590, R2p 3.59658764, R1c 0.22549038, R2c 0.48985276, Rov = 7.40421392
opt value: 22.12646016 at  93, PS gt1    0, R1p 3.58213879, R2p 3.59658698, R1c 0.22549023, R2c 0.48985277, Rov = 7.40421600
opt value: 22.07223098 at  94, PS gt1    0, R1p 3.58214196, R2p 3.59658625, R1c 0.22549006, R2c 0.48985277, Rov = 7.40421827
opt value: 22.02907676 at  95, PS gt1    0, R1p 3.58214128, R2p 3.59658691, R1c 0.22549009, R2c 0.48985277, Rov = 7.40421828
opt value: 22.07357156 at  96, PS gt1    0, R1p 3.58214059, R2p 3.59658757, R1c 0.22549013, R2c 0.48985276, Rov = 7.40421829
opt value: 22.08436708 at  97, PS gt1    0, R1p 3.58214092, R2p 3.59658786, R1c 0.22549011, R2c 0.48985276, Rov = 7.40421889
opt value: 21.95777225 at  98, PS gt1    0, R1p 3.58213081, R2p 3.59659194, R1c 0.22549065, R2c 0.48985271, Rov = 7.40421340
opt value: 22.20431666 at  99, PS gt1    0, R1p 3.58213441, R2p 3.59659108, R1c 0.22549046, R2c 0.48985272, Rov = 7.40421594
opt value: 22.07999857 at 100, PS gt1    0, R1p 3.58213760, R2p 3.59659033, R1c 0.22549029, R2c 0.48985273, Rov = 7.40421822
opt value: 22.07292504 at 101, PS gt1    0, R1p 3.58214062, R2p 3.59658964, R1c 0.22549013, R2c 0.48985274, Rov = 7.40422039
opt value: 22.06444583 at 102, PS gt1    0, R1p 3.58214421, R2p 3.59658878, R1c 0.22548994, R2c 0.48985274, Rov = 7.40422293
opt value: 21.98608631 at 103, PS gt1    0, R1p 3.58213905, R2p 3.59659108, R1c 0.22549021, R2c 0.48985272, Rov = 7.40422034
opt value: 22.16322888 at 104, PS gt1    0, R1p 3.58214215, R2p 3.59659036, R1c 0.22549004, R2c 0.48985273, Rov = 7.40422255
opt value: 22.06803625 at 105, PS gt1    0, R1p 3.58214557, R2p 3.59658955, R1c 0.22548986, R2c 0.48985274, Rov = 7.40422499
opt value: 22.07642720 at 106, PS gt1    0, R1p 3.58214886, R2p 3.59658878, R1c 0.22548969, R2c 0.48985274, Rov = 7.40422733
opt value: 22.07555812 at 107, PS gt1    0, R1p 3.58215195, R2p 3.59658807, R1c 0.22548952, R2c 0.48985275, Rov = 7.40422954
opt value: 22.06413777 at 108, PS gt1    0, R1p 3.58215552, R2p 3.59658722, R1c 0.22548933, R2c 0.48985276, Rov = 7.40423208
opt value: 21.95594374 at 109, PS gt1    0, R1p 3.58214632, R2p 3.59659096, R1c 0.22548982, R2c 0.48985272, Rov = 7.40422710
opt value: 22.01795707 at 110, PS gt1    0, R1p 3.58213237, R2p 3.59659641, R1c 0.22549056, R2c 0.48985266, Rov = 7.40421934
opt value: 22.23637167 at 111, PS gt1    0, R1p 3.58213601, R2p 3.59659554, R1c 0.22549037, R2c 0.48985267, Rov = 7.40422192
opt value: 22.06909225 at 112, PS gt1    0, R1p 3.58213977, R2p 3.59659463, R1c 0.22549017, R2c 0.48985268, Rov = 7.40422457
opt value: 22.01568262 at 113, PS gt1    0, R1p 3.58213718, R2p 3.59659600, R1c 0.22549030, R2c 0.48985267, Rov = 7.40422348
opt value: 22.12837782 at 114, PS gt1    0, R1p 3.58214086, R2p 3.59659512, R1c 0.22549011, R2c 0.48985268, Rov = 7.40422608
opt value: 22.07893428 at 115, PS gt1    0, R1p 3.58214419, R2p 3.59659433, R1c 0.22548993, R2c 0.48985268, Rov = 7.40422846
opt value: 21.98405513 at 116, PS gt1    0, R1p 3.58213932, R2p 3.59659653, R1c 0.22549019, R2c 0.48985266, Rov = 7.40422604
opt value: 22.15615071 at 117, PS gt1    0, R1p 3.58214269, R2p 3.59659573, R1c 0.22549001, R2c 0.48985267, Rov = 7.40422843
opt value: 22.06725311 at 118, PS gt1    0, R1p 3.58214642, R2p 3.59659484, R1c 0.22548981, R2c 0.48985268, Rov = 7.40423107
opt value: 22.04853217 at 119, PS gt1    0, R1p 3.58214628, R2p 3.59659529, R1c 0.22548982, R2c 0.48985267, Rov = 7.40423139
opt value: 22.09548418 at 120, PS gt1    0, R1p 3.58215000, R2p 3.59659440, R1c 0.22548962, R2c 0.48985268, Rov = 7.40423402
opt value: 22.07530381 at 121, PS gt1    0, R1p 3.58215347, R2p 3.59659358, R1c 0.22548944, R2c 0.48985269, Rov = 7.40423649
opt value: 22.08399834 at 122, PS gt1    0, R1p 3.58215615, R2p 3.59659299, R1c 0.22548929, R2c 0.48985270, Rov = 7.40423843
opt value: 22.07042764 at 123, PS gt1    0, R1p 3.58215919, R2p 3.59659229, R1c 0.22548913, R2c 0.48985270, Rov = 7.40424061
opt value: 21.97556801 at 124, PS gt1    0, R1p 3.58215302, R2p 3.59659493, R1c 0.22548946, R2c 0.48985268, Rov = 7.40423742
opt value: 22.16026633 at 125, PS gt1    0, R1p 3.58215641, R2p 3.59659414, R1c 0.22548928, R2c 0.48985268, Rov = 7.40423983
opt value: 22.02334202 at 126, PS gt1    0, R1p 3.58215408, R2p 3.59659539, R1c 0.22548940, R2c 0.48985267, Rov = 7.40423887
opt value: 22.02478164 at 127, PS gt1    0, R1p 3.58214726, R2p 3.59659827, R1c 0.22548976, R2c 0.48985264, Rov = 7.40423529
opt value: 22.04189066 at 128, PS gt1    0, R1p 3.58213803, R2p 3.59660202, R1c 0.22549025, R2c 0.48985260, Rov = 7.40423031
opt value: 22.04413347 at 129, PS gt1    0, R1p 3.58212695, R2p 3.59660646, R1c 0.22549084, R2c 0.48985256, Rov = 7.40422425
opt value: 22.23104788 at 130, PS gt1    0, R1p 3.58212929, R2p 3.59660596, R1c 0.22549072, R2c 0.48985256, Rov = 7.40422596
opt value: 22.04006610 at 131, PS gt1    0, R1p 3.58213000, R2p 3.59660611, R1c 0.22549068, R2c 0.48985256, Rov = 7.40422679
opt value: 22.08881427 at 132, PS gt1    0, R1p 3.58213377, R2p 3.59660520, R1c 0.22549048, R2c 0.48985257, Rov = 7.40422944
opt value: 21.91899439 at 133, PS gt1    0, R1p 3.58212228, R2p 3.59660979, R1c 0.22549109, R2c 0.48985252, Rov = 7.40422315
opt value: 22.20891808 at 134, PS gt1    0, R1p 3.58212335, R2p 3.59660980, R1c 0.22549103, R2c 0.48985252, Rov = 7.40422418
opt value: 22.09014713 at 135, PS gt1    0, R1p 3.58212689, R2p 3.59660896, R1c 0.22549084, R2c 0.48985253, Rov = 7.40422669
opt value: 21.99008288 at 136, PS gt1    0, R1p 3.58212291, R2p 3.59661084, R1c 0.22549105, R2c 0.48985251, Rov = 7.40422480
opt value: 22.15769853 at 137, PS gt1    0, R1p 3.58212611, R2p 3.59661008, R1c 0.22549088, R2c 0.48985252, Rov = 7.40422708
opt value: 22.07968750 at 138, PS gt1    0, R1p 3.58212850, R2p 3.59660957, R1c 0.22549075, R2c 0.48985252, Rov = 7.40422882
opt value: 22.06650112 at 139, PS gt1    0, R1p 3.58213171, R2p 3.59660882, R1c 0.22549058, R2c 0.48985253, Rov = 7.40423111
opt value: 22.06270708 at 140, PS gt1    0, R1p 3.58213548, R2p 3.59660791, R1c 0.22549038, R2c 0.48985254, Rov = 7.40423377
opt value: 22.08324523 at 141, PS gt1    0, R1p 3.58213861, R2p 3.59660718, R1c 0.22549022, R2c 0.48985255, Rov = 7.40423601
opt value: 22.07741934 at 142, PS gt1    0, R1p 3.58214134, R2p 3.59660656, R1c 0.22549007, R2c 0.48985255, Rov = 7.40423798
opt value: 22.06579485 at 143, PS gt1    0, R1p 3.58214448, R2p 3.59660584, R1c 0.22548990, R2c 0.48985256, Rov = 7.40424022
opt value: 22.07622492 at 144, PS gt1    0, R1p 3.58214752, R2p 3.59660514, R1c 0.22548974, R2c 0.48985257, Rov = 7.40424240
opt value: 21.91310784 at 145, PS gt1    0, R1p 3.58213523, R2p 3.59660999, R1c 0.22549039, R2c 0.48985252, Rov = 7.40423561
opt value: 22.22264239 at 146, PS gt1    0, R1p 3.58213872, R2p 3.59660916, R1c 0.22549021, R2c 0.48985253, Rov = 7.40423809
opt value: 22.00658582 at 147, PS gt1    0, R1p 3.58213582, R2p 3.59661064, R1c 0.22549036, R2c 0.48985251, Rov = 7.40423682
opt value: 22.14011161 at 148, PS gt1    0, R1p 3.58213895, R2p 3.59660991, R1c 0.22549020, R2c 0.48985252, Rov = 7.40423906
opt value: 22.07480479 at 149, PS gt1    0, R1p 3.58214210, R2p 3.59660918, R1c 0.22549003, R2c 0.48985252, Rov = 7.40424131
opt value: 22.07117935 at 150, PS gt1    0, R1p 3.58214521, R2p 3.59660846, R1c 0.22548986, R2c 0.48985253, Rov = 7.40424353
opt value: 22.06561686 at 151, PS gt1    0, R1p 3.58214885, R2p 3.59660759, R1c 0.22548967, R2c 0.48985254, Rov = 7.40424612
opt value: 22.06390877 at 152, PS gt1    0, R1p 3.58214982, R2p 3.59660763, R1c 0.22548962, R2c 0.48985254, Rov = 7.40424707
opt value: 22.02202329 at 153, PS gt1    0, R1p 3.58214667, R2p 3.59660919, R1c 0.22548978, R2c 0.48985252, Rov = 7.40424565
opt value: 22.12848809 at 154, PS gt1    0, R1p 3.58215038, R2p 3.59660830, R1c 0.22548959, R2c 0.48985253, Rov = 7.40424827
opt value: 22.03572150 at 155, PS gt1    0, R1p 3.58214878, R2p 3.59660928, R1c 0.22548967, R2c 0.48985252, Rov = 7.40424774
opt value: 22.00807099 at 156, PS gt1    0, R1p 3.58214134, R2p 3.59661239, R1c 0.22549007, R2c 0.48985249, Rov = 7.40424380
opt value: 22.17824993 at 157, PS gt1    0, R1p 3.58214450, R2p 3.59661166, R1c 0.22548990, R2c 0.48985250, Rov = 7.40424606
opt value: 22.06579828 at 158, PS gt1    0, R1p 3.58214817, R2p 3.59661078, R1c 0.22548970, R2c 0.48985251, Rov = 7.40424865
opt value: 22.07222871 at 159, PS gt1    0, R1p 3.58215182, R2p 3.59660991, R1c 0.22548951, R2c 0.48985251, Rov = 7.40425123
opt value: 21.98828901 at 160, PS gt1    0, R1p 3.58214626, R2p 3.59661234, R1c 0.22548980, R2c 0.48985249, Rov = 7.40424841
opt value: 22.06419070 at 161, PS gt1    0, R1p 3.58214003, R2p 3.59661501, R1c 0.22549013, R2c 0.48985246, Rov = 7.40424518
opt value: 22.16876034 at 162, PS gt1    0, R1p 3.58214315, R2p 3.59661429, R1c 0.22548997, R2c 0.48985247, Rov = 7.40424741
opt value: 22.08204206 at 163, PS gt1    0, R1p 3.58214564, R2p 3.59661374, R1c 0.22548984, R2c 0.48985247, Rov = 7.40424922
opt value: 22.04299746 at 164, PS gt1    0, R1p 3.58214621, R2p 3.59661393, R1c 0.22548980, R2c 0.48985247, Rov = 7.40424995
opt value: 22.07389605 at 165, PS gt1    0, R1p 3.58214684, R2p 3.59661410, R1c 0.22548977, R2c 0.48985247, Rov = 7.40425071
opt value: 22.08399239 at 166, PS gt1    0, R1p 3.58215055, R2p 3.59661321, R1c 0.22548957, R2c 0.48985248, Rov = 7.40425333
opt value: 22.00409918 at 167, PS gt1    0, R1p 3.58214643, R2p 3.59661512, R1c 0.22548979, R2c 0.48985246, Rov = 7.40425134
opt value: 22.14820713 at 168, PS gt1    0, R1p 3.58214967, R2p 3.59661437, R1c 0.22548962, R2c 0.48985247, Rov = 7.40425366
opt value: 21.98432555 at 169, PS gt1    0, R1p 3.58214456, R2p 3.59661664, R1c 0.22548989, R2c 0.48985244, Rov = 7.40425109
opt value: 22.15027037 at 170, PS gt1    0, R1p 3.58214826, R2p 3.59661575, R1c 0.22548969, R2c 0.48985245, Rov = 7.40425371
opt value: 22.01150912 at 171, PS gt1    0, R1p 3.58214495, R2p 3.59661737, R1c 0.22548987, R2c 0.48985244, Rov = 7.40425219
opt value: 22.13156127 at 172, PS gt1    0, R1p 3.58214867, R2p 3.59661648, R1c 0.22548967, R2c 0.48985244, Rov = 7.40425482
opt value: 22.07324075 at 173, PS gt1    0, R1p 3.58215233, R2p 3.59661561, R1c 0.22548948, R2c 0.48985245, Rov = 7.40425741
opt value: 22.07125761 at 174, PS gt1    0, R1p 3.58215602, R2p 3.59661472, R1c 0.22548928, R2c 0.48985246, Rov = 7.40426002
opt value: 22.07238987 at 175, PS gt1    0, R1p 3.58215968, R2p 3.59661385, R1c 0.22548909, R2c 0.48985247, Rov = 7.40426262
opt value: 22.08648122 at 176, PS gt1    0, R1p 3.58216232, R2p 3.59661327, R1c 0.22548894, R2c 0.48985248, Rov = 7.40426453
opt value: 22.01962425 at 177, PS gt1    0, R1p 3.58216019, R2p 3.59661444, R1c 0.22548906, R2c 0.48985246, Rov = 7.40426369
opt value: 22.06784794 at 178, PS gt1    0, R1p 3.58215782, R2p 3.59661570, R1c 0.22548918, R2c 0.48985245, Rov = 7.40426271
opt value: 21.97100495 at 179, PS gt1    0, R1p 3.58214500, R2p 3.59662073, R1c 0.22548986, R2c 0.48985240, Rov = 7.40425559
opt value: 22.07643837 at 180, PS gt1    0, R1p 3.58213407, R2p 3.59662510, R1c 0.22549044, R2c 0.48985236, Rov = 7.40424961
opt value: 22.21298558 at 181, PS gt1    0, R1p 3.58213733, R2p 3.59662434, R1c 0.22549027, R2c 0.48985236, Rov = 7.40425193
opt value: 22.06604952 at 182, PS gt1    0, R1p 3.58214108, R2p 3.59662343, R1c 0.22549007, R2c 0.48985237, Rov = 7.40425458
opt value: 22.02759732 at 183, PS gt1    0, R1p 3.58213933, R2p 3.59662449, R1c 0.22549016, R2c 0.48985236, Rov = 7.40425398
opt value: 21.97489471 at 184, PS gt1    0, R1p 3.58212845, R2p 3.59662885, R1c 0.22549074, R2c 0.48985232, Rov = 7.40424804
opt value: 22.22772478 at 185, PS gt1    0, R1p 3.58213083, R2p 3.59662834, R1c 0.22549061, R2c 0.48985232, Rov = 7.40424977
opt value: 22.06235049 at 186, PS gt1    0, R1p 3.58213416, R2p 3.59662755, R1c 0.22549043, R2c 0.48985233, Rov = 7.40425214
opt value: 22.08429577 at 187, PS gt1    0, R1p 3.58213666, R2p 3.59662700, R1c 0.22549030, R2c 0.48985233, Rov = 7.40425396
